algo,cores,size,time,options
3D,64,6400,16.8092,4 4 4
3D,64,6400,17.2293,4 4 4
3D,64,6400,16.7587,4 4 4
3D,64,6400,20.4965,4 4 4
3D,64,6400,16.44,4 4 4
3D,64,3200,1.6557,4 4 4
3D,64,3200,1.8862,4 4 4
3D,64,3200,1.6614,4 4 4
3D,64,3200,1.6985,4 4 4
3D,64,3200,1.8317,4 4 4
3D,64,1600,0.2193,4 4 4
3D,64,1600,0.2243,4 4 4
3D,64,1600,0.2211,4 4 4
3D,64,1600,0.2217,4 4 4
3D,64,1600,0.2246,4 4 4
3D,32,1600,0.3139,4 4 2
3D,32,1600,0.3183,4 4 2
3D,32,1600,0.3082,4 4 2
3D,32,1600,0.3249,4 4 2
3D,32,1600,0.3233,4 4 2
3D,32,3200,2.5806,4 4 2
3D,32,3200,2.5899,4 4 2
3D,32,3200,2.6242,4 4 2
3D,32,3200,2.5954,4 4 2
3D,32,3200,2.5861,4 4 2
3D,32,6400,49.4092,4 4 2
3D,32,6400,49.8351,4 4 2
3D,32,6400,49.1965,4 4 2
3D,32,6400,49.7852,4 4 2
3D,32,6400,50.2046,4 4 2
3D,16,6400,81.1458,4 2 2
3D,16,6400,81.764,4 2 2
3D,16,6400,80.8465,4 2 2
3D,16,6400,80.6335,4 2 2
3D,16,6400,81.4118,4 2 2
3D,16,3200,4.5881,4 2 2
3D,16,3200,4.3337,4 2 2
3D,16,3200,4.3608,4 2 2
3D,16,3200,4.6173,4 2 2
3D,16,3200,4.6394,4 2 2
3D,16,1600,0.5075,4 2 2
3D,16,1600,0.5151,4 2 2
3D,16,1600,0.49,4 2 2
3D,16,1600,0.4931,4 2 2
3D,16,1600,0.5118,4 2 2
2D,16,1600,0.3193,4
2D,16,1600,0.318,4
2D,16,1600,0.3136,4
2D,16,1600,0.3166,4
2D,16,1600,0.3194,4
2D,16,3200,3.8109,4
2D,16,3200,3.9394,4
2D,16,3200,4.0529,4
2D,16,3200,4.1758,4
2D,16,3200,4.0616,4
2D,16,6400,36.8658,4
2D,16,6400,36.6195,4
2D,16,6400,37.442,4
2D,16,6400,35.467,4
2D,16,6400,36.1376,4
2D,64,6400,14.4666,8
2D,64,6400,14.4833,8
2D,64,6400,14.5882,8
2D,64,6400,14.1639,8
2D,64,6400,9.5691,8
2D,64,3200,1.0703,8
2D,64,3200,1.0883,8
2D,64,3200,0.9564,8
2D,64,3200,1.076,8
2D,64,3200,0.9938,8
2D,64,1600,0.1324,8
2D,64,1600,0.1116,8
2D,64,1600,0.142,8
2D,64,1600,0.1329,8
2D,64,1600,0.1504,8
2D,64,16000,160.3042,8
3D,64,16000,329.2612,4 4 4
2D,16,4800,15.6725,4
2D,16,4800,15.7524,4
2D,16,4800,15.9029,4
2D,16,4800,15.3802,4
2D,16,4800,15.4118,4
3D,16,4800,18.4376,4 2 2
3D,16,4800,18.6829,4 2 2
3D,16,4800,18.7856,4 2 2
3D,16,4800,18.693,4 2 2
3D,16,4800,18.7777,4 2 2
3D,64,1600,0.1999,4 4 4
3D,64,6400,15.7851,4 4 4
3D,64,4800,5.0904,4 4 4
3D,64,4800,5.1926,4 4 4
3D,64,4800,5.1699,4 4 4
3D,64,4800,5.1017,4 4 4
3D,64,4800,5.1933,4 4 4
3D,128,6400,5.3542,8 4 4
3D,128,6400,5.2769,8 4 4
3D,128,6400,5.1367,8 4 4
3D,128,6400,5.0557,8 4 4
3D,128,6400,5.2529,8 4 4
3D,128,3200,0.6851,8 4 4
3D,128,3200,0.7289,8 4 4
3D,128,3200,0.7073,8 4 4
3D,128,3200,0.6918,8 4 4
3D,128,3200,0.7215,8 4 4
3D,128,3200,0.6897,8 4 4
3D,128,12800,106.1633,8 4 4
3D,128,12800,107.5923,8 4 4
2D,121,12800,103.9122,11
2D,121,12800,105.9724,11
2D,121,6400,7.3542,11
2D,121,6400,7.1942,11
2D,121,6400,7.4666,11
2D,121,6400,7.6678,11
2D,121,6400,7.2024,11
2D,121,3200,0.4767,11
2D,121,3200,0.5689,11
2D,121,3200,0.5045,11
2D,121,3200,0.4729,11
2D,121,3200,0.5075,11
2D,256,3200,0.2885,16
2D,256,3200,0.3256,16
2D,256,3200,0.3152,16
2D,256,3200,0.3064,16
2D,256,3200,0.3182,16
2D,256,6400,2.7327,16
2D,256,6400,2.7716,16
2D,256,6400,2.7729,16
2D,256,6400,2.7852,16
2D,256,6400,2.7786,16
2D,256,12800,29.0881,16
2D,256,12800,29.121,16
2D,256,12800,29.1876,16
2D,256,12800,29.9178,16
2D,256,9600,12.1685,16
2D,256,9600,11.6824,16
2D,256,9600,11.8119,16
2D,256,9600,11.8382,16
2D,256,9600,12.0899,16
3D,256,3200,0.4874,8 8 4
3D,256,3200,0.4853,8 8 4
3D,256,3200,0.4797,8 8 4
3D,256,3200,0.4814,8 8 4
3D,256,3200,0.4885,8 8 4
3D,256,3200,0.4927,8 8 4
3D,256,6400,3.7704,8 8 4
3D,256,6400,4.2477,8 8 4
3D,256,6400,3.846,8 8 4
3D,256,6400,4.1996,8 8 4
3D,256,6400,4.2621,8 8 4
3D,256,6400,4.3102,8 8 4
3D,256,9600,13.6322,8 8 4
3D,256,9600,13.4628,8 8 4
